hash	task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	chunks	dataset	hardware_type	node_type	threads
3d/bb849b	28	3698745.pbs02	similarity_chunk	breast.003.002/3	similarity_chunk (breast.003.002/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633013230950	1633077950238	1633093385424	80154474	15420850		91.7	0.3	431341568.0	15931301888.0	431341568.0	15964905472.0	36730366.0	15096345685.0	4039.0	2974.0	68104960.0	15096327994.0	21629.0	840889.0	/scratch1/btsheal/work/3d/bb849b8d54a86f154c90c8ec50fe08			4	breast.003.002	p100	16	2
3d/c206fc	45	3814217.pbs02	similarity_chunk	breast.002.004/0	similarity_chunk (breast.002.004/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634034798886	1634034804021	1634036057304	1258418	1212407		194.4	0.1	522301440.0	11940925440.0	524414976.0	11940978688.0	48742969.0	3388508817.0	4450.0	631.0	79771193.0	3388501417.0	7789.0	47151.0	/scratch1/btsheal/work/3d/c206fc55dd34b620c83790bc8ed0f2			16	breast.002.004	v100	18b	2
3d/c20e90	159	3756272.pbs02	similarity_chunk	breast.004.002/2	similarity_chunk (breast.004.002/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633463571075	1633463581053	1633470457575	6886500	6865914		198.3	0.3	431972352.0	15931981824.0	445313024.0	15965585408.0	48438587.0	6769348913.0	4307.0	1544.0	79812851.0	6769334920.0	27068.0	271264.0	/scratch1/btsheal/work/3d/c20e909470ee1b071f0f85f43057c9			16	breast.004.002	p100	17	2
3e/326902	54	3682837.pbs02	similarity_chunk	breast.001.004/1	similarity_chunk (breast.001.004/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922252859	1632922802939	1632923120441	867582	312081		192.0	0.1	480296960.0	11873206272.0	482394112.0	11873259520.0	25364954.0	867093743.0	2955.0	352.0	56393792.0	867087631.0	16409.0	11377.0	/scratch1/btsheal/work/3e/3269026db3fd0965996985c5c718c3			16	breast.001.004	v100	18b	2
3e/448fb1	137	3787204.pbs02	similarity_chunk	breast.003.001/4	similarity_chunk (breast.003.001/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633913665066	1633913666697	1633914469109	804043	798781		193.6	0.1	403591168.0	11438075904.0	403591168.0	11505238016.0	19633341.0	2562471006.0	2862.0	1200.0	50651843.0	2562461992.0	27571.0	30576.0	/scratch1/btsheal/work/3e/448fb119ac36ba65d194653d73b85b			12	breast.003.001	v100	18b	2
3e/517a59	67	3752288.pbs02	similarity_chunk	breast.003.002/6	similarity_chunk (breast.003.002/6)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633440238291	1633451424048	1633455353199	15114908	3937949		198.9	0.3	406794240.0	15931285504.0	433713152.0	16031997952.0	36725294.0	3835981808.0	3432.0	1058.0	68100870.0	3835969260.0	26610.0	144371.0	/scratch1/btsheal/work/3e/517a59070c8b726b8d4a241b87ad73			16	breast.003.002	p100	16	2
3e/9ccc6d	64	3752277.pbs02	similarity_chunk	breast.003.002/3	similarity_chunk (breast.003.002/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633440183825	1633454834872	1633458730180	18546355	3894531		198.0	0.3	409657344.0	15931215872.0	435429376.0	15964819456.0	36725438.0	3802348678.0	3424.0	1060.0	68100870.0	3802336112.0	25361.0	149950.0	/scratch1/btsheal/work/3e/9ccc6de06750e0984d1db8778b359d			16	breast.003.002	p100	16	2
3e/b8e7d1	61	3678969.pbs02	similarity_chunk	breast.001.004/8	similarity_chunk (breast.001.004/8)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632884856306	1632886813811	1632887731409	2875103	911572		196.9	0.3	471715840.0	16117886976.0	486608896.0	16185049088.0	24986004.0	892766712.0	2530.0	420.0	56363072.0	892757361.0	4033.0	32287.0	/scratch1/btsheal/work/3e/b8e7d1fc3b8138c8d6256bca367b64			16	breast.001.004	p100	16	2
3e/f0b7a1	161	3756302.pbs02	similarity_chunk	breast.004.002/4	similarity_chunk (breast.004.002/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633464040102	1633464056533	1633470862970	6822868	6806107		198.1	0.3	428056576.0	15931985920.0	443359232.0	16032698368.0	48438949.0	6702202914.0	4305.0	1548.0	79812851.0	6702188884.0	28840.0	266787.0	/scratch1/btsheal/work/3e/f0b7a155760e09b4ec624cebe42a2c			16	breast.004.002	p100	16	2
3e/f49760	41	3636911.pbs02	similarity_chunk	breast.001.001/4	similarity_chunk (breast.001.001/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632513901864	1632634690289	1632644663504	130761640	9965890		99.9	0.2	139907072.0	1187971072.0	139907072.0	1255133184.0	7303744.0	216946909.0	1249.0	335.0	41057152.0	216934890.0	2365.0	4065.0	/scratch1/btsheal/work/3e/f49760b4c94421d7593dbab8857b5a			16	breast.001.001	cpu	7a	2
3f/451fc4	6	3786414.pbs02	similarity_chunk	breast.002.001/1	similarity_chunk (breast.002.001/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633907330145	1633907336959	1633907692044	361899	354394		193.1	0.1	392032256.0	11437555712.0	392032256.0	11504717824.0	13732337.0	1109422966.0	2342.0	735.0	44760463.0	1109415192.0	4639.0	11578.0	/scratch1/btsheal/work/3f/451fc48cc6691a35fc012b7d2bb5ac			12	breast.002.001	v100	18b	2
3f/6d59b2	5	3686002.pbs02	similarity_chunk	breast.001.003/1	similarity_chunk (breast.001.003/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632932343045	1632932352147	1632932800736	457691	446592		193.7	0.1	439455744.0	11705397248.0	445755392.0	11772559360.0	19522112.0	1281129018.0	2619.0	444.0	50550781.0	1281122591.0	4511.0	15969.0	/scratch1/btsheal/work/3f/6d59b254c0eeb5cd2558a8a5cb247d			8	breast.001.003	v100	18b	2
40/458004	71	3752293.pbs02	similarity_chunk	breast.003.002/10	similarity_chunk (breast.003.002/10)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633440287543	1633452988337	1633456874747	16587204	3877349		198.5	0.3	410267648.0	15914520576.0	431112192.0	15964901376.0	36725445.0	3780533449.0	3428.0	1060.0	68100875.0	3780520884.0	28426.0	129212.0	/scratch1/btsheal/work/40/458004f37366b308191767632b462e			16	breast.003.002	p100	17	2
40/5b0b2c	8	3821976.pbs02	similarity_chunk	breast.002.001/2	similarity_chunk (breast.002.001/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634158033131	1634158039740	1634159119056	1085925	1054380		194.0	0.1	347176960.0	11437506560.0	347176960.0	11571777536.0	13734165.0	3406874839.0	2572.0	1498.0	44756361.0	3406865041.0	16726.0	38472.0	/scratch1/btsheal/work/40/5b0b2ce9c8e9ee09bfa4b7f246e48b			4	breast.002.001	v100	18b	2
40/afe1b4	40	3822002.pbs02	similarity_chunk	breast.004.003/3	similarity_chunk (breast.004.003/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634158151413	1634158159802	1634171367136	13215723	13186280		197.6	0.1	546758656.0	11807916032.0	550637568.0	11908628480.0	72122133.0	40591460853.0	7223.0	4875.0	114260196.0	40591441454.0	65003.0	514101.0	/scratch1/btsheal/work/40/afe1b4922c91fe98e56100fd7fba36			4	breast.004.003	v100	18c	2
40/c6c79e	22	3686031.pbs02	similarity_chunk	breast.001.001/1	similarity_chunk (breast.001.001/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632932398129	1632932800802	1632932938375	540246	140462		192.8	0.1	385028096.0	11403276288.0	385028096.0	11537547264.0	7856635.0	429659418.0	1916.0	443.0	38877048.0	429653298.0	2987.0	4618.0	/scratch1/btsheal/work/40/c6c79eb9d3cdaf3f83400d6877238f			8	breast.001.001	v100	18b	2
40/c78dfb	46	3814218.pbs02	similarity_chunk	breast.002.004/1	similarity_chunk (breast.002.004/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634034803504	1634034809027	1634036082907	1279403	1214882		194.4	0.1	525303808.0	11940933632.0	529547264.0	11940986880.0	48742942.0	3412156193.0	4446.0	637.0	79767097.0	3412148745.0	23692.0	47287.0	/scratch1/btsheal/work/40/c78dfb43e7ae9afcb9cf718c5591d2			16	breast.002.004	v100	18b	2
40/d13b09	91	3725525.pbs02	similarity_chunk	breast.004.002/6	similarity_chunk (breast.004.002/6)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633273648358	1633290498088	1633303981779	30333421	13475870		199.1	0.3	448102400.0	15931973632.0	460484608.0	16032686080.0	48441699.0	13315198424.0	4667.0	2680.0	79816941.0	13315181462.0	38450.0	486758.0	/scratch1/btsheal/work/40/d13b0997926244eba405d07f071c8a			8	breast.004.002	p100	16	2
41/032e73	3	3767602.pbs02	similarity_chunk	breast.003.003/1	similarity_chunk (breast.003.003/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633590550236	1633590552883	1633598375121	7824885	7807347		197.5	0.3	449830912.0	16031989760.0	450039808.0	16132702208.0	54201514.0	7666089202.0	4565.0	1272.0	85580428.0	7666083354.0	18273.0	311057.0	/scratch1/btsheal/work/41/032e73a15c955004628eeaaa0038a5			12	breast.003.003	p100	16	2
41/20d25d	33	3636896.pbs02	similarity_chunk	breast.001.004/12	similarity_chunk (breast.001.004/12)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632513862517	1632610752337	1632650921680	137059163	40150709		99.8	0.2	195461120.0	1241653248.0	212455424.0	1277566976.0	24816352.0	873520186.0	2320.0	336.0	58569799.0	873508131.0	27230.0	44412.0	/scratch1/btsheal/work/41/20d25d3a24ca4e98709969d22a3e65			16	breast.001.004	cpu	7a	2
41/34b351	20	3682749.pbs02	similarity_chunk	breast.001.003/15	similarity_chunk (breast.001.003/15)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922096130	1632922315166	1632922410669	314539	95668		190.4	0.1	428539904.0	11671846912.0	457904128.0	11772567552.0	19521774.0	303809992.0	2588.0	302.0	50546696.0	303804312.0	1937.0	3389.0	/scratch1/btsheal/work/41/34b351b0158ced5338e2d3b7a090bc			16	breast.001.003	v100	18b	2
41/604450	156	3756213.pbs02	similarity_chunk	breast.002.003/15	similarity_chunk (breast.002.003/15)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633462693664	1633463144183	1633465601488	2907824	2453244		198.6	0.3	427327488.0	15997923328.0	431542272.0	16098635776.0	36671973.0	2459134576.0	3309.0	697.0	68048260.0	2459123132.0	16210.0	94268.0	/scratch1/btsheal/work/41/60445069b38f799ef580e13806d04d			16	breast.002.003	p100	16	2
41/672060	51	3698773.pbs02	similarity_chunk	breast.003.001/2	similarity_chunk (breast.003.001/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633013343984	1633104438145	1633111817936	98473952	7363091		198.9	0.3	380723200.0	15682809856.0	380723200.0	15797088256.0	19254637.0	7597241199.0	2970.0	2961.0	50629309.0	7597223704.0	28456.0	229006.0	/scratch1/btsheal/work/41/672060b7fd93620c72178a4516dcfd			4	breast.003.001	p100	16	2
41/d174ad	45	3822009.pbs02	similarity_chunk	breast.002.003/0	similarity_chunk (breast.002.003/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634158174150	1634158184818	1634161670887	3496737	3463218		197.4	0.1	479264768.0	11739594752.0	484659200.0	11840307200.0	37056800.0	10182217974.0	4024.0	1474.0	68074873.0	10182208289.0	27426.0	138518.0	/scratch1/btsheal/work/41/d174adfc609089cccfcc649d4bbb44			4	breast.002.003	v100	18c	2
42/3f6278	51	3786455.pbs02	similarity_chunk	breast.004.004/2	similarity_chunk (breast.004.004/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633907495344	1633907712175	1633913887237	6391893	6175572		194.0	0.1	582209536.0	12076437504.0	582213632.0	12076490752.0	95500668.0	18235328675.0	7688.0	1867.0	126521584.0	18235317466.0	29536.0	175634.0	/scratch1/btsheal/work/42/3f6278abe30b081200856b3084d3c8			12	breast.004.004	v100	18b	2
42/47c91d	189	3814414.pbs02	similarity_chunk	breast.004.002/0	similarity_chunk (breast.004.002/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634040965405	1634040972115	1634043338971	2373566	2318318		196.8	0.1	471384064.0	11707211776.0	479506432.0	11740815360.0	48821665.0	6740488218.0	4739.0	1477.0	79839475.0	6740478518.0	20855.0	87611.0	/scratch1/btsheal/work/42/47c91dab2fdc68e98f356ad608cc3f			16	breast.004.002	v100	18b	2
42/8ad2db	18	3682744.pbs02	similarity_chunk	breast.001.003/13	similarity_chunk (breast.001.003/13)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922086422	1632922305208	1632922525668	439246	220184		194.6	0.1	442007552.0	11705348096.0	446070784.0	11738951680.0	19522040.0	646118929.0	2602.0	350.0	50546696.0	646112994.0	3157.0	7558.0	/scratch1/btsheal/work/42/8ad2dbbd5fabe9cf5923fc24f7688d			16	breast.001.003	v100	18b	2
42/d87682	18	3636867.pbs02	similarity_chunk	breast.001.003/13	similarity_chunk (breast.001.003/13)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632513785676	1632587412253	1632616866000	103080324	29447680		99.8	0.2	157216768.0	1193230336.0	187858944.0	1228746752.0	18973416.0	645807955.0	1963.0	336.0	52726794.0	645795905.0	21998.0	11878.0	/scratch1/btsheal/work/42/d87682c7a8d155cc9a653ff450f884			16	breast.001.003	cpu	7a	2
43/40362a	25	3682759.pbs02	similarity_chunk	breast.001.002/4	similarity_chunk (breast.001.002/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922115007	1632922787548	1632922938065	823058	150128		193.7	0.1	390402048.0	11604594688.0	411373568.0	11638198272.0	13679036.0	435640305.0	2240.0	357.0	44707779.0	435641722.0	2410.0	4262.0	/scratch1/btsheal/work/43/40362af4a5e26b706ebfcd0f8efed1			16	breast.001.002	v100	18b	2
43/54cbb4	18	3698733.pbs02	similarity_chunk	breast.003.003/0	similarity_chunk (breast.003.003/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633013179339	1633013185959	1633036057296	22877957	22854559		199.2	0.3	447295488.0	16026808320.0	447475712.0	16127520768.0	54205871.0	22885762654.0	5114.0	2955.0	84850310.0	22885745192.0	47090.0	848494.0	/scratch1/btsheal/work/43/54cbb4b4b96df368276360d22c210e			4	breast.003.003	p100	17	2
43/57cfa4	7	3682714.pbs02	similarity_chunk	breast.001.003/2	similarity_chunk (breast.001.003/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922033133	1632922043834	1632922275114	241981	230140		193.1	0.1	415064064.0	11671834624.0	444424192.0	11738996736.0	19521822.0	647564564.0	2601.0	352.0	50551811.0	647558804.0	3590.0	8619.0	/scratch1/btsheal/work/43/57cfa4c1238b25371f342b609f5573			16	breast.001.003	v100	18b	2
43/61c18b	19	3614363.pbs02	similarity_chunk	breast.001.001/2	similarity_chunk (breast.001.001/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-cpu.img	1	86400000			1	1632336564379	1632422984078	1632465578192	129013813	42579148		99.8	0.2	142848000.0	1193537536.0	142848000.0	1193590784.0	7307860.0	844492954.0	1254.0	543.0	38035322.0	844479436.0	15003.0	27318.0	/scratch1/btsheal/work/43/61c18b7eb003e6aa21f9814aca575f			4	breast.001.001	cpu	8a	2
43/9231b4	178	3756418.pbs02	similarity_chunk	breast.003.001/5	similarity_chunk (breast.003.001/5)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633465524994	1633465536538	1633467182266	1657272	1645534		197.9	0.3	379523072.0	15666065408.0	385761280.0	15730003968.0	19249769.0	1894309329.0	2360.0	1060.0	50625219.0	1894296822.0	21521.0	48365.0	/scratch1/btsheal/work/43/9231b413bba526da6f06a6f9fd2920			16	breast.003.001	p100	16	2
43/bc1d12	63	3682864.pbs02	similarity_chunk	breast.001.004/10	similarity_chunk (breast.001.004/10)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922302509	1632923063984	1632923391184	1088675	321900		195.1	0.1	472158208.0	11839639552.0	487587840.0	11940356096.0	25364877.0	894924872.0	2957.0	357.0	56394821.0	894918684.0	3978.0	11063.0	/scratch1/btsheal/work/43/bc1d129be1ded69568e9ef505f8bb4			16	breast.001.004	v100	18b	2
43/be58a2	85	3724528.pbs02	similarity_chunk	breast.004.002/0	similarity_chunk (breast.004.002/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633271012745	1633280414001	1633293615313	22602568	13193736		199.1	0.3	438333440.0	15931985920.0	443920384.0	16032698368.0	48441748.0	13431336763.0	4671.0	2674.0	79812845.0	13431319938.0	32040.0	437548.0	/scratch1/btsheal/work/43/be58a23ce89da389fca347ad450313			8	breast.004.002	p100	16	2
44/52d1f2	56	3682842.pbs02	similarity_chunk	breast.001.004/3	similarity_chunk (breast.001.004/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922262125	1632922446956	1632922781947	519822	320607		194.9	0.1	478965760.0	11873222656.0	483217408.0	11940384768.0	25365053.0	884028484.0	2954.0	358.0	56389696.0	884022365.0	3152.0	10575.0	/scratch1/btsheal/work/44/52d1f292420c390a2d2ff8ee406e88			16	breast.001.004	v100	18b	2
44/6e2b6e	83	3814293.pbs02	similarity_chunk	breast.003.002/6	similarity_chunk (breast.003.002/6)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634037251507	1634037591380	1634038874824	1623317	1280065		195.9	0.1	454733824.0	11672944640.0	465842176.0	11773657088.0	37104097.0	3836006393.0	3853.0	994.0	68127494.0	3835997932.0	28666.0	49605.0	/scratch1/btsheal/work/44/6e2b6eac3c83c78e633dc14a63286e			16	breast.003.002	v100	18b	2
44/85db6b	32	3814204.pbs02	similarity_chunk	breast.003.003/3	similarity_chunk (breast.003.003/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634034734859	1634034743991	1634036632911	1898052	1886070		196.6	0.1	500023296.0	11773673472.0	511664128.0	11773726720.0	54579710.0	5666818267.0	4916.0	988.0	85603980.0	5666809779.0	21796.0	72987.0	/scratch1/btsheal/work/44/85db6b13e41ba83aea8b9b485c48ed			16	breast.003.003	v100	18b	2
44/ed8fe7	63	3814236.pbs02	similarity_chunk	breast.004.004/2	similarity_chunk (breast.004.004/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634034885150	1634036994143	1634041656980	6771830	4656300		197.3	0.1	579022848.0	12009299968.0	579919872.0	12076457984.0	95503800.0	13674135069.0	7573.0	1496.0	126673136.0	13674125053.0	28755.0	178720.0	/scratch1/btsheal/work/44/ed8fe75ab7daf777e09c28952e656e			16	breast.004.004	v100	18b	2
44/f44b72	149	3756190.pbs02	similarity_chunk	breast.002.003/8	similarity_chunk (breast.002.003/8)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633462116948	1633463144155	1633465794484	3677536	2650385		198.5	0.3	427827200.0	15997890560.0	433700864.0	16031494144.0	36671956.0	2549610720.0	3311.0	700.0	68048255.0	2549599264.0	28499.0	98980.0	/scratch1/btsheal/work/44/f44b7253e3cf362dd9c2e2ba604d90			16	breast.002.003	p100	16	2
45/176ee8	71	3776895.pbs02	similarity_chunk	breast.003.004/2	similarity_chunk (breast.003.004/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633784189679	1633790952179	1633796266192	12076513	5330082		198.3	0.1	545673216.0	12075765760.0	545882112.0	12142927872.0	72126603.0	15326627080.0	6204.0	1620.0	103144083.0	15326616551.0	35345.0	201268.0	/scratch1/btsheal/work/45/176ee8275a0a858d6583377d1a02fa			8	breast.003.004	v100	18b	2
45/1a23c9	151	3814366.pbs02	similarity_chunk	breast.002.003/10	similarity_chunk (breast.002.003/10)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1634039810711	1634039816509	1634040668767	858056	847462		194.5	0.1	495955968.0	11739570176.0	497205248.0	11773173760.0	37054808.0	2550139736.0	3741.0	632.0	68074884.0	2550132467.0	20271.0	33325.0	/scratch1/btsheal/work/45/1a23c97c8144a9c9ac0b3a3633ec0d			16	breast.002.003	v100	18b	2
45/204e0c	25	3674788.pbs02	similarity_chunk	breast.001.001/4	similarity_chunk (breast.001.001/4)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632833479942	1632834479470	1632834895669	1415727	412491		194.8	0.2	353845248.0	15661514752.0	353845248.0	15728676864.0	7473969.0	420958024.0	1484.0	513.0	38850424.0	420948530.0	15585.0	13025.0	/scratch1/btsheal/work/45/204e0cd7158f734b63a238bf738ab5			8	breast.001.001	p100	16	2
45/2400ef	19	3776340.pbs02	similarity_chunk	breast.003.003/6	similarity_chunk (breast.003.003/6)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633783590984	1633783599833	1633787314385	3723401	3709712		197.6	0.1	505253888.0	11773706240.0	516751360.0	11807309824.0	54585306.0	11407187027.0	5127.0	1626.0	96732806.0	11407176537.0	17528.0	129235.0	/scratch1/btsheal/work/45/2400efc95b999c1b0eea9a2ad7b11a			8	breast.003.003	v100	18b	2
45/4fcfaf	34	3698754.pbs02	similarity_chunk	breast.004.004/1	similarity_chunk (breast.004.004/1)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633013258933	1633088598730	1633146063056	132804123	57450376		199.3	0.4	544878592.0	16301199360.0	558174208.0	16301252608.0	95129736.0	54746432702.0	8250.0	4921.0	137623786.0	54746409661.0	83455.0	2184584.0	/scratch1/btsheal/work/45/4fcfaf6b325db3f91435f669ea012d			4	breast.004.004	p100	16	2
45/940004	63	3786466.pbs02	similarity_chunk	breast.003.002/2	similarity_chunk (breast.003.002/2)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633907545766	1633907702408	1633909412241	1866475	1711011		196.4	0.1	466378752.0	11672891392.0	471093248.0	11773603840.0	37104779.0	5068795207.0	3921.0	1203.0	68127494.0	5068786036.0	10363.0	61571.0	/scratch1/btsheal/work/45/940004bd28ca3d9446b6b2ddd07634			12	breast.003.002	v100	18b	2
45/eaefbd	23	3786424.pbs02	similarity_chunk	breast.002.001/10	similarity_chunk (breast.002.001/10)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633907365545	1633907372023	1633907717130	351585	345600		191.8	0.1	402477056.0	11437473792.0	402477056.0	11504635904.0	13736419.0	1114041585.0	2346.0	733.0	44756372.0	1114033857.0	25971.0	12179.0	/scratch1/btsheal/work/45/eaefbd9bd06085fafcf22b40332f86			12	breast.002.001	v100	18b	2
46/13f715	88	3768689.pbs02	similarity_chunk	breast.004.003/3	similarity_chunk (breast.004.003/3)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633615265239	1633622181111	1633636318816	21053577	14152269		198.9	0.3	478531584.0	16066273280.0	495509504.0	16166985728.0	71731346.0	13642090810.0	5846.0	1925.0	103104746.0	13642075590.0	29250.0	528419.0	/scratch1/btsheal/work/46/13f71563b06dd218f4f8293ac6a09b			12	breast.004.003	p100	17	2
46/a13d63	46	3682817.pbs02	similarity_chunk	breast.001.001/9	similarity_chunk (breast.001.001/9)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1632922214822	1632922550713	1632922626933	412111	73260		186.1	0.1	380166144.0	11403276288.0	380166144.0	11537547264.0	7852269.0	210886823.0	1887.0	354.0	38877054.0	210880769.0	16555.0	3275.0	/scratch1/btsheal/work/46/a13d637c5d10648b07d224f871234f			16	breast.001.001	v100	18b	2
46/cc59ce	71	3786476.pbs02	similarity_chunk	breast.003.002/10	similarity_chunk (breast.003.002/10)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633907735949	1633907742094	1633909397711	1661762	1650810		196.7	0.1	447238144.0	11672956928.0	462589952.0	11773669376.0	37104684.0	5018040804.0	3921.0	1205.0	68127499.0	5018031612.0	22900.0	61673.0	/scratch1/btsheal/work/46/cc59ce1b8097b1975f66f6e8f1952a			12	breast.003.002	v100	18b	2
46/df5a5a	37	3698757.pbs02	similarity_chunk	breast.004.001/0	similarity_chunk (breast.004.001/0)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-kinc-3.4.2-gpu.img	1	86400000			1	1633013273401	1633088598746	1633101675728	88402327	13054455		199.0	0.3	396222464.0	15717076992.0	396222464.0	15764242432.0	25139279.0	13472246456.0	3971.0	4922.0	56508627.0	13472223591.0	65423.0	385797.0	/scratch1/btsheal/work/46/df5a5adafb14b0761cf8738e24621d			4	breast.004.001	p100	16	2
